BUS_TYPE,DRUG_NAME,BUYERS,TOTAL_GRAMS
HOSPITALS,BUPRENORPHINE,752.0,12.51
HOSPITALS,COCAINE,4443.0,62659.950000000004
HOSPITALS,CODEINE,7901.0,2139547.0999999996
HOSPITALS,D-AMPHETAMINE BASE,3083.0,90899.54999999999
HOSPITALS,D-METHAMPHETAMINE,67.0,400.85999999999996
HOSPITALS,DL-AMPHETAMINE BASE,2456.0,48254.799999999996
HOSPITALS,FENTANYL BASE,8189.0,36567.95
HOSPITALS,HYDROCODONE,8017.0,790242.3600000002
HOSPITALS,HYDROMORPHONE,5402.0,116762.99999999999
HOSPITALS,MEPERIDINE (PETHIDINE),7922.0,2683864.86
HOSPITALS,METHADONE,4882.0,310026.72000000003
HOSPITALS,METHYLPHENIDATE,5224.0,435844.5400000001
HOSPITALS,MORPHINE,8251.0,2253786.09
HOSPITALS,OXYCODONE,7589.0,1816575.88
PHARMACIES,BUPRENORPHINE,1241.0,69.02999999999999
PHARMACIES,COCAINE,673.0,4868.29
PHARMACIES,CODEINE,58199.0,20284867.189999998
PHARMACIES,D-AMPHETAMINE BASE,53496.0,3003702.5999999996
PHARMACIES,D-METHAMPHETAMINE,3095.0,16059.220000000001
PHARMACIES,DL-AMPHETAMINE BASE,52892.0,2046314.72
PHARMACIES,FENTANYL BASE,52205.0,204450.21000000002
PHARMACIES,HYDROCODONE,59108.0,17769369.48
PHARMACIES,HYDROMORPHONE,34723.0,354714.51999999996
PHARMACIES,MEPERIDINE (PETHIDINE),40877.0,2609324.8099999996
PHARMACIES,METHADONE,38832.0,2328286.76
PHARMACIES,METHYLPHENIDATE,54828.0,11099677.13
PHARMACIES,MORPHINE,51361.0,7995001.91
PHARMACIES,OXYCODONE,55351.0,20533350.98
PRACTITIONERS,BUPRENORPHINE,1777.0,17.099999999999998
PRACTITIONERS,COCAINE,738.0,4283.6
PRACTITIONERS,CODEINE,6650.0,207622.49
PRACTITIONERS,D-AMPHETAMINE BASE,144.0,1467.5299999999997
PRACTITIONERS,D-METHAMPHETAMINE,9.0,41.9
PRACTITIONERS,DL-AMPHETAMINE BASE,70.0,1084.1999999999998
PRACTITIONERS,FENTANYL BASE,9057.0,952.2499999999999
PRACTITIONERS,HYDROCODONE,93112.0,260241.46
PRACTITIONERS,HYDROMORPHONE,1274.0,1581.6299999999999
PRACTITIONERS,MEPERIDINE (PETHIDINE),6863.0,118448.31999999999
PRACTITIONERS,METHADONE,50.0,10381.349999999999
PRACTITIONERS,METHYLPHENIDATE,106.0,5031.62
PRACTITIONERS,MORPHINE,5645.0,13279.44
PRACTITIONERS,OXYCODONE,938.0,25052.670000000002
TEACHING INSTITUTIONS,BUPRENORPHINE,6.0,0.15999999999999998
TEACHING INSTITUTIONS,COCAINE,5.0,17.83
TEACHING INSTITUTIONS,CODEINE,11.0,916.8
TEACHING INSTITUTIONS,D-AMPHETAMINE BASE,5.0,563.58
TEACHING INSTITUTIONS,D-METHAMPHETAMINE,1.0,1.6
TEACHING INSTITUTIONS,DL-AMPHETAMINE BASE,4.0,476.33
TEACHING INSTITUTIONS,FENTANYL BASE,14.0,56.1
TEACHING INSTITUTIONS,HYDROCODONE,17.0,327.26
TEACHING INSTITUTIONS,HYDROMORPHONE,7.0,302.03
TEACHING INSTITUTIONS,MEPERIDINE (PETHIDINE),10.0,152.07
TEACHING INSTITUTIONS,METHADONE,7.0,847.0400000000001
TEACHING INSTITUTIONS,METHYLPHENIDATE,5.0,782.22
TEACHING INSTITUTIONS,MORPHINE,22.0,2121.06
TEACHING INSTITUTIONS,OXYCODONE,7.0,1901.8700000000001
