STATE,BUS_TYPE,DRUG_NAME,DRUG_CODE,BUYERS,TOTAL_GRAMS
ALABAMA,HOSPITALS,ALFENTANIL,9737,2.0,0.34
ALABAMA,HOSPITALS,AMOBARBITAL (SCHEDULE 2),2125,2.0,13.22
ALABAMA,HOSPITALS,AMPHETAMINE,1100,65.0,7426.68
ALABAMA,HOSPITALS,BUPRENORPHINE,9064,84.0,296.63
ALABAMA,HOSPITALS,BUTALBITAL,2165,9.0,155.0
ALABAMA,HOSPITALS,COCAINE,9041L,44.0,202.42
ALABAMA,HOSPITALS,CODEINE,9050,127.0,6356.96
ALABAMA,HOSPITALS,FENTANYL BASE,9801,130.0,499.54
ALABAMA,HOSPITALS,GAMMA HYDROXYBUTYRIC ACID(FDA APPROVED,2012,1.0,668.74
ALABAMA,HOSPITALS,HYDROCODONE,9193,141.0,34649.47
ALABAMA,HOSPITALS,HYDROMORPHONE,9150,123.0,3145.06
ALABAMA,HOSPITALS,LISDEXAMFETAMINE,1205,23.0,2805.52
ALABAMA,HOSPITALS,MEPERIDINE (PETHIDINE),9230,119.0,19381.03
ALABAMA,HOSPITALS,METHADONE,9250B,107.0,7299.56
ALABAMA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,85.0,7933.21
ALABAMA,HOSPITALS,MORPHINE,9300,136.0,43051.39
ALABAMA,HOSPITALS,OPIUM POWDERED,9639,54.0,258.84
ALABAMA,HOSPITALS,OXYCODONE,9143,135.0,31977.8
ALABAMA,HOSPITALS,OXYMORPHONE,9652,19.0,71.81
ALABAMA,HOSPITALS,PENTOBARBITAL (SCHEDULE 2),2270,6.0,699.5
ALABAMA,HOSPITALS,REMIFENTANIL,9739,16.0,9.74
ALABAMA,HOSPITALS,SUFENTANIL BASE,9740,31.0,1.72
ALABAMA,HOSPITALS,TAPENTADOL,9780,31.0,1823.5
ALABAMA,MID-LEVEL PRACTITIONERS,HYDROCODONE,9193,4.0,0.82
ALABAMA,MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,25.0,53952.05
ALABAMA,NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,9064,8.0,237.64
ALABAMA,NARCOTIC TREATMENT PROGRAMS,METHADONE,9250B,22.0,238230.47
ALABAMA,PHARMACIES,AMPHETAMINE,1100,1341.0,444407.49
ALABAMA,PHARMACIES,BUPRENORPHINE,9064,1277.0,70551.35
ALABAMA,PHARMACIES,BUTALBITAL,2165,924.0,37945.0
ALABAMA,PHARMACIES,COCAINE,9041L,1.0,4.46
ALABAMA,PHARMACIES,CODEINE,9050,1342.0,189228.38
ALABAMA,PHARMACIES,D-METHAMPHETAMINE,1105D,2.0,1.61
ALABAMA,PHARMACIES,DIHYDROCODEINE,9120,89.0,175.18
ALABAMA,PHARMACIES,DL-METHAMPHETAMINE RACEMIC BASE,1105B,38.0,171.19
ALABAMA,PHARMACIES,FENTANYL BASE,9801,1311.0,7898.75
ALABAMA,PHARMACIES,HYDROCODONE,9193,1393.0,1238147.69
ALABAMA,PHARMACIES,HYDROMORPHONE,9150,1171.0,15481.14
ALABAMA,PHARMACIES,LEVORPHANOL,9220L,13.0,6.27
ALABAMA,PHARMACIES,LISDEXAMFETAMINE,1205,1297.0,244512.6
ALABAMA,PHARMACIES,MEPERIDINE (PETHIDINE),9230,1081.0,36468.9
ALABAMA,PHARMACIES,METHADONE,9250B,1221.0,144342.12
ALABAMA,PHARMACIES,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,1333.0,287724.18
ALABAMA,PHARMACIES,MORPHINE,9300,1325.0,347106.35
ALABAMA,PHARMACIES,NABILONE,7379,2.0,0.2
ALABAMA,PHARMACIES,OPIUM POWDERED,9639,77.0,180.36
ALABAMA,PHARMACIES,OXYCODONE,9143,1359.0,1052837.54
ALABAMA,PHARMACIES,OXYMORPHONE,9652,947.0,36899.4
ALABAMA,PHARMACIES,SECOBARBITAL (SCHEDULE 2),2315,4.0,82.4
ALABAMA,PHARMACIES,TAPENTADOL,9780,1120.0,240374.5
ALABAMA,PRACTITIONERS,AMPHETAMINE,1100,1.0,39.92
ALABAMA,PRACTITIONERS,BUPRENORPHINE,9064,257.0,90.54
ALABAMA,PRACTITIONERS,BUTALBITAL,2165,3.0,58.5
ALABAMA,PRACTITIONERS,COCAINE,9041L,11.0,105.99
ALABAMA,PRACTITIONERS,CODEINE,9050,40.0,1972.91
ALABAMA,PRACTITIONERS,DIHYDROCODEINE,9120,38.0,6.73
ALABAMA,PRACTITIONERS,FENTANYL BASE,9801,203.0,90.16
ALABAMA,PRACTITIONERS,GAMMA HYDROXYBUTYRIC ACID(FDA APPROVED,2012,1.0,668.74
ALABAMA,PRACTITIONERS,HYDROCODONE,9193,665.0,6335.68
ALABAMA,PRACTITIONERS,HYDROMORPHONE,9150,113.0,928.85
ALABAMA,PRACTITIONERS,LISDEXAMFETAMINE,1205,2.0,9.89
ALABAMA,PRACTITIONERS,MEPERIDINE (PETHIDINE),9230,143.0,3185.55
ALABAMA,PRACTITIONERS,METHADONE,9250B,4.0,222.71
ALABAMA,PRACTITIONERS,MORPHINE,9300,168.0,3047.1
ALABAMA,PRACTITIONERS,NOROXYMORPHONE,9668,2.0,0.98
ALABAMA,PRACTITIONERS,OPIUM POWDERED,9639,1.0,0.36
ALABAMA,PRACTITIONERS,OXYCODONE,9143,41.0,2934.0
ALABAMA,PRACTITIONERS,OXYMORPHONE,9652,1.0,0.02
ALABAMA,PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,73.0,47575.93
ALABAMA,PRACTITIONERS,REMIFENTANIL,9739,1.0,2.29
ALABAMA,PRACTITIONERS,SUFENTANIL BASE,9740,9.0,12.07
ALABAMA,TEACHING INSTITUTIONS,BUPRENORPHINE,9064,1.0,0.09
ALABAMA,TEACHING INSTITUTIONS,FENTANYL BASE,9801,1.0,0.36
ALABAMA,TEACHING INSTITUTIONS,HYDROCODONE,9193,1.0,0.57
ALABAMA,TEACHING INSTITUTIONS,HYDROMORPHONE,9150,1.0,1.42
ALABAMA,TEACHING INSTITUTIONS,MORPHINE,9300,1.0,1.13
ALASKA,HOSPITALS,ALFENTANIL,9737,4.0,2.07
ALASKA,HOSPITALS,AMPHETAMINE,1100,23.0,5834.54
ALASKA,HOSPITALS,BUPRENORPHINE,9064,19.0,402.33
ALASKA,HOSPITALS,COCAINE,9041L,13.0,62.5
ALASKA,HOSPITALS,CODEINE,9050,40.0,10913.93
ALASKA,HOSPITALS,FENTANYL BASE,9801,45.0,222.92
ALASKA,HOSPITALS,HYDROCODONE,9193,51.0,8106.5
ALASKA,HOSPITALS,HYDROMORPHONE,9150,37.0,939.88
ALASKA,HOSPITALS,LISDEXAMFETAMINE,1205,12.0,330.1
ALASKA,HOSPITALS,MEPERIDINE (PETHIDINE),9230,34.0,899.32
ALASKA,HOSPITALS,METHADONE,9250B,23.0,1716.8
ALASKA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,30.0,8721.0
ALASKA,HOSPITALS,MORPHINE,9300,45.0,14638.02
ALASKA,HOSPITALS,OPIUM POWDERED,9639,12.0,50.4
ALASKA,HOSPITALS,OXYCODONE,9143,42.0,18142.19
ALASKA,HOSPITALS,OXYMORPHONE,9652,2.0,6.69
ALASKA,HOSPITALS,PENTOBARBITAL (SCHEDULE 2),2270,1.0,799.75
ALASKA,HOSPITALS,REMIFENTANIL,9739,18.0,8.2
ALASKA,HOSPITALS,SUFENTANIL BASE,9740,5.0,0.03
ALASKA,HOSPITALS,TAPENTADOL,9780,5.0,693.0
ALASKA,MID-LEVEL PRACTITIONERS,CODEINE,9050,4.0,29.84
ALASKA,MID-LEVEL PRACTITIONERS,FENTANYL BASE,9801,2.0,0.01
ALASKA,MID-LEVEL PRACTITIONERS,HYDROCODONE,9193,6.0,14.77
ALASKA,MID-LEVEL PRACTITIONERS,MEPERIDINE (PETHIDINE),9230,1.0,1.74
ALASKA,MID-LEVEL PRACTITIONERS,MORPHINE,9300,2.0,0.23
ALASKA,MID-LEVEL PRACTITIONERS,OXYCODONE,9143,1.0,1.79
ALASKA,MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,3.0,533.17
ALASKA,MID-LEVEL PRACTITIONERS,REMIFENTANIL,9739,1.0,0.03
ALASKA,NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,9064,2.0,33.45
ALASKA,NARCOTIC TREATMENT PROGRAMS,METHADONE,9250B,4.0,8192.7
ALASKA,PHARMACIES,ALFENTANIL,9737,2.0,0.24
ALASKA,PHARMACIES,AMPHETAMINE,1100,103.0,21129.71
ALASKA,PHARMACIES,BUPRENORPHINE,9064,94.0,6336.48
ALASKA,PHARMACIES,BUTALBITAL,2165,62.0,1899.75
ALASKA,PHARMACIES,COCAINE,9041L,1.0,4.61
ALASKA,PHARMACIES,CODEINE,9050,106.0,21007.57
ALASKA,PHARMACIES,DL-METHAMPHETAMINE RACEMIC BASE,1105B,4.0,5.22
ALASKA,PHARMACIES,FENTANYL BASE,9801,103.0,934.97
ALASKA,PHARMACIES,HYDROCODONE,9193,107.0,55151.52
ALASKA,PHARMACIES,HYDROMORPHONE,9150,92.0,3711.23
ALASKA,PHARMACIES,LEVORPHANOL,9220L,2.0,1.63
ALASKA,PHARMACIES,LISDEXAMFETAMINE,1205,96.0,7024.49
ALASKA,PHARMACIES,MEPERIDINE (PETHIDINE),9230,68.0,3545.15
ALASKA,PHARMACIES,METHADONE,9250B,93.0,20647.13
ALASKA,PHARMACIES,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,104.0,24477.37
ALASKA,PHARMACIES,MORPHINE,9300,107.0,43523.7
ALASKA,PHARMACIES,OPIUM POWDERED,9639,14.0,116.64
ALASKA,PHARMACIES,OXYCODONE,9143,105.0,128768.7
ALASKA,PHARMACIES,OXYMORPHONE,9652,42.0,1073.06
ALASKA,PHARMACIES,REMIFENTANIL,9739,3.0,0.11
ALASKA,PHARMACIES,TAPENTADOL,9780,59.0,6147.5
ALASKA,PRACTITIONERS,ALFENTANIL,9737,3.0,0.08
ALASKA,PRACTITIONERS,BUPRENORPHINE,9064,52.0,2.23
ALASKA,PRACTITIONERS,COCAINE,9041L,2.0,15.28
ALASKA,PRACTITIONERS,CODEINE,9050,17.0,166.09
ALASKA,PRACTITIONERS,FENTANYL BASE,9801,63.0,10.69
ALASKA,PRACTITIONERS,HYDROCODONE,9193,67.0,513.91
ALASKA,PRACTITIONERS,HYDROMORPHONE,9150,37.0,23.02
ALASKA,PRACTITIONERS,MEPERIDINE (PETHIDINE),9230,15.0,54.9
ALASKA,PRACTITIONERS,METHADONE,9250B,6.0,66.01
ALASKA,PRACTITIONERS,MORPHINE,9300,47.0,191.51
ALASKA,PRACTITIONERS,OPIUM POWDERED,9639,1.0,0.72
ALASKA,PRACTITIONERS,OXYCODONE,9143,7.0,86.53
ALASKA,PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,25.0,15383.98
ALASKA,PRACTITIONERS,REMIFENTANIL,9739,6.0,0.21
AMERICAN SAMOA,HOSPITALS,AMPHETAMINE,1100,1.0,4.12
AMERICAN SAMOA,HOSPITALS,CODEINE,9050,1.0,2368.47
AMERICAN SAMOA,HOSPITALS,FENTANYL BASE,9801,1.0,0.17
AMERICAN SAMOA,HOSPITALS,HYDROCODONE,9193,1.0,16.65
AMERICAN SAMOA,HOSPITALS,HYDROMORPHONE,9150,1.0,4.61
AMERICAN SAMOA,HOSPITALS,MEPERIDINE (PETHIDINE),9230,1.0,14.82
AMERICAN SAMOA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,1.0,12.11
AMERICAN SAMOA,HOSPITALS,MORPHINE,9300,1.0,87.01
AMERICAN SAMOA,HOSPITALS,OXYCODONE,9143,1.0,83.37
ARIZONA,HOSPITALS,ALFENTANIL,9737,10.0,1.77
ARIZONA,HOSPITALS,AMOBARBITAL (SCHEDULE 2),2125,5.0,30.99
ARIZONA,HOSPITALS,AMPHETAMINE,1100,90.0,6931.13
ARIZONA,HOSPITALS,BUPRENORPHINE,9064,57.0,1225.18
ARIZONA,HOSPITALS,BUTALBITAL,2165,12.0,230.0
ARIZONA,HOSPITALS,COCAINE,9041,8.0,0.0
ARIZONA,HOSPITALS,COCAINE,9041L,61.0,369.69
ARIZONA,HOSPITALS,CODEINE,9050,144.0,38584.5
ARIZONA,HOSPITALS,FENTANYL BASE,9801,140.0,713.55
ARIZONA,HOSPITALS,HYDROCODONE,9193,150.0,22689.82
ARIZONA,HOSPITALS,HYDROMORPHONE,9150,124.0,3832.48
ARIZONA,HOSPITALS,LISDEXAMFETAMINE,1205,30.0,1863.79
ARIZONA,HOSPITALS,MEPERIDINE (PETHIDINE),9230,102.0,8247.29
ARIZONA,HOSPITALS,METHADONE,9250B,112.0,11208.62
ARIZONA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,109.0,19550.5
ARIZONA,HOSPITALS,MORPHINE,9300,154.0,103749.97
ARIZONA,HOSPITALS,OPIUM POWDERED,9639,53.0,439.92
ARIZONA,HOSPITALS,OXYCODONE,9143,153.0,102059.28
ARIZONA,HOSPITALS,OXYMORPHONE,9652,17.0,207.59
ARIZONA,HOSPITALS,PENTOBARBITAL (SCHEDULE 2),2270,13.0,1584.47
ARIZONA,HOSPITALS,REMIFENTANIL,9739,31.0,10.28
ARIZONA,HOSPITALS,SUFENTANIL BASE,9740,31.0,0.31
ARIZONA,HOSPITALS,TAPENTADOL,9780,17.0,562.5
ARIZONA,MID-LEVEL PRACTITIONERS,BUPRENORPHINE,9064,1.0,2.94
ARIZONA,MID-LEVEL PRACTITIONERS,CODEINE,9050,4.0,11.27
ARIZONA,MID-LEVEL PRACTITIONERS,FENTANYL BASE,9801,2.0,0.02
ARIZONA,MID-LEVEL PRACTITIONERS,HYDROCODONE,9193,17.0,204.05
ARIZONA,MID-LEVEL PRACTITIONERS,HYDROMORPHONE,9150,1.0,0.05
ARIZONA,MID-LEVEL PRACTITIONERS,MEPERIDINE (PETHIDINE),9230,2.0,20.48
ARIZONA,MID-LEVEL PRACTITIONERS,METHADONE,9250B,2.0,14.31
ARIZONA,MID-LEVEL PRACTITIONERS,MORPHINE,9300,2.0,0.54
ARIZONA,MID-LEVEL PRACTITIONERS,OXYCODONE,9143,1.0,0.45
ARIZONA,MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,9.0,5952.79
ARIZONA,NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,9064,10.0,277.19
ARIZONA,NARCOTIC TREATMENT PROGRAMS,METHADONE,9250B,34.0,232997.01
ARIZONA,PHARMACIES,ALFENTANIL,9737,1.0,0.09
ARIZONA,PHARMACIES,AMPHETAMINE,1100,1089.0,248656.19
ARIZONA,PHARMACIES,BUPRENORPHINE,9064,1039.0,24560.31
ARIZONA,PHARMACIES,BUTALBITAL,2165,863.0,52690.0
ARIZONA,PHARMACIES,COCAINE,9041L,6.0,20.0
ARIZONA,PHARMACIES,CODEINE,9050,1101.0,282524.42
ARIZONA,PHARMACIES,D-METHAMPHETAMINE,1105D,8.0,31.33
ARIZONA,PHARMACIES,DIHYDROCODEINE,9120,4.0,9.61
ARIZONA,PHARMACIES,DL-METHAMPHETAMINE RACEMIC BASE,1105B,57.0,192.49
