BUS_TYPE,DRUG_NAME,BUYERS,TOTAL_GRAMS
HOSPITALS,COCAINE,4466.0,60903.810000000005
HOSPITALS,CODEINE,7903.0,2006418.0000000002
HOSPITALS,D-AMPHETAMINE BASE,3123.0,95938.98000000003
HOSPITALS,D-METHAMPHETAMINE,76.0,464.21000000000004
HOSPITALS,DL-AMPHETAMINE BASE,2552.0,57334.789999999986
HOSPITALS,FENTANYL BASE,8444.0,42631.07999999999
HOSPITALS,HYDROCODONE,8069.0,908912.23
HOSPITALS,HYDROMORPHONE,5750.0,140603.06
HOSPITALS,MEPERIDINE (PETHIDINE),7899.0,2394209.73
HOSPITALS,METHADONE,5179.0,393957.02999999997
HOSPITALS,METHYLPHENIDATE,5356.0,465781.62000000005
HOSPITALS,MORPHINE,8423.0,2491014.9499999997
HOSPITALS,OXYCODONE,7691.0,1969012.8200000003
PHARMACIES,COCAINE,631.0,4398.179999999999
PHARMACIES,CODEINE,58394.0,19633751.250000004
PHARMACIES,D-AMPHETAMINE BASE,53792.0,3204781.87
PHARMACIES,D-METHAMPHETAMINE,3112.0,16367.960000000001
PHARMACIES,DL-AMPHETAMINE BASE,53242.0,2320455.91
PHARMACIES,FENTANYL BASE,53619.0,273273.82
PHARMACIES,HYDROCODONE,59284.0,21106646.14
PHARMACIES,HYDROMORPHONE,37490.0,436391.8699999999
PHARMACIES,MEPERIDINE (PETHIDINE),40712.0,2739476.6200000006
PHARMACIES,METHADONE,42088.0,3274058.98
PHARMACIES,METHYLPHENIDATE,55166.0,12207733.46
PHARMACIES,MORPHINE,52308.0,9794035.569999997
PHARMACIES,OXYCODONE,55855.0,24651733.34
PRACTITIONERS,COCAINE,726.0,4343.47
PRACTITIONERS,CODEINE,6272.0,223485.01999999996
PRACTITIONERS,D-AMPHETAMINE BASE,178.0,2689.9999999999995
PRACTITIONERS,D-METHAMPHETAMINE,4.0,24.65
PRACTITIONERS,DL-AMPHETAMINE BASE,109.0,2162.46
PRACTITIONERS,FENTANYL BASE,9658.0,1248.7999999999997
PRACTITIONERS,HYDROCODONE,56435.0,323411.87
PRACTITIONERS,HYDROMORPHONE,1513.0,2145.7999999999997
PRACTITIONERS,MEPERIDINE (PETHIDINE),6233.0,105547.65
PRACTITIONERS,METHADONE,57.0,15112.650000000003
PRACTITIONERS,METHYLPHENIDATE,126.0,4252.469999999999
PRACTITIONERS,MORPHINE,6209.0,17357.21
PRACTITIONERS,OXYCODONE,1001.0,33107.7
TEACHING INSTITUTIONS,COCAINE,7.0,27.080000000000002
TEACHING INSTITUTIONS,CODEINE,11.0,513.9
TEACHING INSTITUTIONS,D-AMPHETAMINE BASE,8.0,687.22
TEACHING INSTITUTIONS,D-METHAMPHETAMINE,2.0,5.609999999999999
TEACHING INSTITUTIONS,DL-AMPHETAMINE BASE,4.0,595.99
TEACHING INSTITUTIONS,FENTANYL BASE,22.0,43.629999999999995
TEACHING INSTITUTIONS,HYDROCODONE,9.0,373.0
TEACHING INSTITUTIONS,HYDROMORPHONE,5.0,231.44000000000003
TEACHING INSTITUTIONS,MEPERIDINE (PETHIDINE),8.0,126.5
TEACHING INSTITUTIONS,METHADONE,2.0,751.89
TEACHING INSTITUTIONS,METHYLPHENIDATE,6.0,737.57
TEACHING INSTITUTIONS,MORPHINE,17.0,1403.1799999999998
TEACHING INSTITUTIONS,OXYCODONE,3.0,1288.93
