STATE,BUS_TYPE,DRUG_NAME,DRUG_CODE,BUYERS,TOTAL_GRAMS
ALABAMA,HOSPITALS,ALFENTANIL,9737,3.0,0.25
ALABAMA,HOSPITALS,AMPHETAMINE,1100,62.0,8827.26
ALABAMA,HOSPITALS,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21C,2100,1.0,15.0
ALABAMA,HOSPITALS,BUPRENORPHINE,9064,95.0,1009.87
ALABAMA,HOSPITALS,BUTALBITAL,2165,4.0,30.0
ALABAMA,HOSPITALS,COCAINE,9041L,41.0,137.42
ALABAMA,HOSPITALS,CODEINE,9050,116.0,5082.31
ALABAMA,HOSPITALS,DIHYDROCODEINE,9120,3.0,4.27
ALABAMA,HOSPITALS,FENTANYL BASE,9801,133.0,457.5
ALABAMA,HOSPITALS,HYDROCODONE,9193,144.0,45670.59
ALABAMA,HOSPITALS,HYDROMORPHONE,9150,130.0,2910.62
ALABAMA,HOSPITALS,LISDEXAMFETAMINE,1205,28.0,2801.47
ALABAMA,HOSPITALS,MEPERIDINE (PETHIDINE),9230,119.0,10291.54
ALABAMA,HOSPITALS,METHADONE,9250B,101.0,3654.64
ALABAMA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,77.0,7301.88
ALABAMA,HOSPITALS,MORPHINE,9300,144.0,25226.6
ALABAMA,HOSPITALS,OPIUM COMBINATION PRODUCT (C-III),9809,4.0,3.41
ALABAMA,HOSPITALS,OPIUM POWDERED,9639,51.0,254.88
ALABAMA,HOSPITALS,OXYCODONE,9143,139.0,33735.34
ALABAMA,HOSPITALS,OXYMORPHONE,9652,18.0,86.13
ALABAMA,HOSPITALS,PENTOBARBITAL (SCHEDULE 2),2270,3.0,290.28
ALABAMA,HOSPITALS,REMIFENTANIL,9739,18.0,11.41
ALABAMA,HOSPITALS,SUFENTANIL BASE,9740,31.0,1.55
ALABAMA,HOSPITALS,TAPENTADOL,9780,31.0,850.5
ALABAMA,MID-LEVEL PRACTITIONERS,BUPRENORPHINE,9064,1.0,0.12
ALABAMA,MID-LEVEL PRACTITIONERS,CODEINE,9050,14.0,33.64
ALABAMA,MID-LEVEL PRACTITIONERS,DIHYDROCODEINE,9120,10.0,3.2
ALABAMA,MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,21.0,22304.24
ALABAMA,NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,9064,8.0,251.28
ALABAMA,NARCOTIC TREATMENT PROGRAMS,METHADONE,9250B,22.0,236035.74
ALABAMA,PHARMACIES,AMPHETAMINE,1100,1371.0,513195.41
ALABAMA,PHARMACIES,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21C,2100,292.0,6130.0
ALABAMA,PHARMACIES,BUPRENORPHINE,9064,1340.0,99420.27
ALABAMA,PHARMACIES,BUTALBITAL,2165,610.0,17770.0
ALABAMA,PHARMACIES,CODEINE,9050,1371.0,201385.95
ALABAMA,PHARMACIES,D-METHAMPHETAMINE,1105D,4.0,14.86
ALABAMA,PHARMACIES,DIHYDROCODEINE,9120,519.0,3017.55
ALABAMA,PHARMACIES,DL-METHAMPHETAMINE RACEMIC BASE,1105B,32.0,96.04
ALABAMA,PHARMACIES,DRONABINOL IN AN ORAL SOLUTION IN FDA APPR,7365,9.0,4.2
ALABAMA,PHARMACIES,FENTANYL BASE,9801,1308.0,5465.95
ALABAMA,PHARMACIES,HYDROCODONE,9193,1394.0,924556.65
ALABAMA,PHARMACIES,HYDROMORPHONE,9150,1137.0,9924.86
ALABAMA,PHARMACIES,LEVORPHANOL,9220L,23.0,20.08
ALABAMA,PHARMACIES,LISDEXAMFETAMINE,1205,1328.0,282505.33
ALABAMA,PHARMACIES,MEPERIDINE (PETHIDINE),9230,832.0,17119.96
ALABAMA,PHARMACIES,METHADONE,9250B,1145.0,72727.6
ALABAMA,PHARMACIES,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,1352.0,283489.85
ALABAMA,PHARMACIES,MORPHINE,9300,1341.0,255863.42
ALABAMA,PHARMACIES,OPIUM COMBINATION PRODUCT (C-III),9809,55.0,43.71
ALABAMA,PHARMACIES,OPIUM POWDERED,9639,58.0,82.44
ALABAMA,PHARMACIES,OXYCODONE,9143,1379.0,888450.18
ALABAMA,PHARMACIES,OXYMORPHONE,9652,874.0,21416.15
ALABAMA,PHARMACIES,TAPENTADOL,9780,1134.0,217710.5
ALABAMA,PRACTITIONERS,BUPRENORPHINE,9064,257.0,73.53
ALABAMA,PRACTITIONERS,COCAINE,9041L,8.0,91.28
ALABAMA,PRACTITIONERS,CODEINE,9050,220.0,2389.75
ALABAMA,PRACTITIONERS,DIHYDROCODEINE,9120,120.0,124.33
ALABAMA,PRACTITIONERS,FENTANYL BASE,9801,231.0,39.68
ALABAMA,PRACTITIONERS,HYDROCODONE,9193,132.0,1668.7
ALABAMA,PRACTITIONERS,HYDROMORPHONE,9150,119.0,201.85
ALABAMA,PRACTITIONERS,LISDEXAMFETAMINE,1205,1.0,18.22
ALABAMA,PRACTITIONERS,MEPERIDINE (PETHIDINE),9230,114.0,2003.69
ALABAMA,PRACTITIONERS,METHADONE,9250B,3.0,4.13
ALABAMA,PRACTITIONERS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,1.0,77.56
ALABAMA,PRACTITIONERS,MORPHINE,9300,142.0,976.81
ALABAMA,PRACTITIONERS,OPIUM POWDERED,9639,2.0,4.32
ALABAMA,PRACTITIONERS,OXYCODONE,9143,39.0,1055.64
ALABAMA,PRACTITIONERS,OXYMORPHONE,9652,1.0,1.52
ALABAMA,PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,72.0,42999.03
ALABAMA,PRACTITIONERS,REMIFENTANIL,9739,1.0,1.74
ALABAMA,PRACTITIONERS,SUFENTANIL BASE,9740,7.0,5.01
ALABAMA,TEACHING INSTITUTIONS,BUPRENORPHINE,9064,1.0,0.01
ALASKA,HOSPITALS,ALFENTANIL,9737,4.0,2.45
ALASKA,HOSPITALS,AMPHETAMINE,1100,27.0,6428.14
ALASKA,HOSPITALS,BUPRENORPHINE,9064,33.0,654.25
ALASKA,HOSPITALS,BUTALBITAL,2165,1.0,15.0
ALASKA,HOSPITALS,COCAINE,9041L,11.0,38.07
ALASKA,HOSPITALS,CODEINE,9050,38.0,7751.98
ALASKA,HOSPITALS,FENTANYL BASE,9801,51.0,178.82
ALASKA,HOSPITALS,HYDROCODONE,9193,50.0,5041.1
ALASKA,HOSPITALS,HYDROMORPHONE,9150,45.0,622.59
ALASKA,HOSPITALS,LISDEXAMFETAMINE,1205,17.0,934.21
ALASKA,HOSPITALS,MEPERIDINE (PETHIDINE),9230,37.0,431.83
ALASKA,HOSPITALS,METHADONE,9250B,25.0,1254.66
ALASKA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,31.0,7633.06
ALASKA,HOSPITALS,MORPHINE,9300,51.0,7650.67
ALASKA,HOSPITALS,OPIUM POWDERED,9639,17.0,80.28
ALASKA,HOSPITALS,OXYCODONE,9143,47.0,13725.79
ALASKA,HOSPITALS,OXYMORPHONE,9652,2.0,5.0
ALASKA,HOSPITALS,PENTOBARBITAL (SCHEDULE 2),2270,3.0,2086.65
ALASKA,HOSPITALS,REMIFENTANIL,9739,18.0,11.03
ALASKA,HOSPITALS,SUFENTANIL BASE,9740,6.0,0.04
ALASKA,HOSPITALS,TAPENTADOL,9780,6.0,732.0
ALASKA,MID-LEVEL PRACTITIONERS,CODEINE,9050,3.0,16.58
ALASKA,MID-LEVEL PRACTITIONERS,FENTANYL BASE,9801,3.0,0.01
ALASKA,MID-LEVEL PRACTITIONERS,HYDROCODONE,9193,5.0,6.05
ALASKA,MID-LEVEL PRACTITIONERS,HYDROMORPHONE,9150,1.0,0.02
ALASKA,MID-LEVEL PRACTITIONERS,MORPHINE,9300,5.0,0.94
ALASKA,MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,4.0,1421.78
ALASKA,NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,9064,2.0,26.4
ALASKA,NARCOTIC TREATMENT PROGRAMS,METHADONE,9250B,4.0,15347.9
ALASKA,PHARMACIES,ALFENTANIL,9737,3.0,0.14
ALASKA,PHARMACIES,AMPHETAMINE,1100,107.0,25907.13
ALASKA,PHARMACIES,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21C,2100,26.0,715.0
ALASKA,PHARMACIES,BUPRENORPHINE,9064,104.0,8772.51
ALASKA,PHARMACIES,BUTALBITAL,2165,36.0,910.0
ALASKA,PHARMACIES,COCAINE,9041L,1.0,0.29
ALASKA,PHARMACIES,CODEINE,9050,110.0,19955.1
ALASKA,PHARMACIES,D-METHAMPHETAMINE,1105D,1.0,0.8
ALASKA,PHARMACIES,DIHYDROCODEINE,9120,1.0,13.89
ALASKA,PHARMACIES,DL-METHAMPHETAMINE RACEMIC BASE,1105B,5.0,10.85
ALASKA,PHARMACIES,FENTANYL BASE,9801,106.0,750.65
ALASKA,PHARMACIES,HYDROCODONE,9193,110.0,39318.08
ALASKA,PHARMACIES,HYDROMORPHONE,9150,95.0,3237.94
ALASKA,PHARMACIES,LISDEXAMFETAMINE,1205,96.0,8931.65
ALASKA,PHARMACIES,MEPERIDINE (PETHIDINE),9230,58.0,2378.32
ALASKA,PHARMACIES,METHADONE,9250B,96.0,15470.26
ALASKA,PHARMACIES,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,106.0,24505.89
ALASKA,PHARMACIES,MORPHINE,9300,109.0,38003.31
ALASKA,PHARMACIES,OPIUM COMBINATION PRODUCT (C-III),9809,1.0,0.19
ALASKA,PHARMACIES,OPIUM POWDERED,9639,12.0,21.96
ALASKA,PHARMACIES,OXYCODONE,9143,111.0,123965.53
ALASKA,PHARMACIES,OXYMORPHONE,9652,34.0,991.17
ALASKA,PHARMACIES,REMIFENTANIL,9739,4.0,0.22
ALASKA,PHARMACIES,TAPENTADOL,9780,58.0,8259.0
ALASKA,PRACTITIONERS,ALFENTANIL,9737,1.0,0.3
ALASKA,PRACTITIONERS,BUPRENORPHINE,9064,51.0,5.01
ALASKA,PRACTITIONERS,COCAINE,9041L,2.0,9.57
ALASKA,PRACTITIONERS,CODEINE,9050,10.0,73.82
ALASKA,PRACTITIONERS,FENTANYL BASE,9801,72.0,11.14
ALASKA,PRACTITIONERS,HYDROCODONE,9193,43.0,164.86
ALASKA,PRACTITIONERS,HYDROMORPHONE,9150,53.0,36.69
ALASKA,PRACTITIONERS,MEPERIDINE (PETHIDINE),9230,15.0,40.85
ALASKA,PRACTITIONERS,METHADONE,9250B,3.0,14.13
ALASKA,PRACTITIONERS,MORPHINE,9300,35.0,77.71
ALASKA,PRACTITIONERS,OPIUM POWDERED,9639,1.0,0.36
ALASKA,PRACTITIONERS,OXYCODONE,9143,8.0,104.31
ALASKA,PRACTITIONERS,OXYMORPHONE,9652,1.0,8.56
ALASKA,PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,32.0,19282.95
ALASKA,PRACTITIONERS,REMIFENTANIL,9739,6.0,0.43
AMERICAN SAMOA,HOSPITALS,AMPHETAMINE,1100,1.0,2.5
AMERICAN SAMOA,HOSPITALS,BUTALBITAL,2165,1.0,10.0
AMERICAN SAMOA,HOSPITALS,CODEINE,9050,1.0,1361.42
AMERICAN SAMOA,HOSPITALS,FENTANYL BASE,9801,1.0,0.47
AMERICAN SAMOA,HOSPITALS,HYDROCODONE,9193,1.0,7.9
AMERICAN SAMOA,HOSPITALS,HYDROMORPHONE,9150,1.0,0.98
AMERICAN SAMOA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,1.0,17.73
AMERICAN SAMOA,HOSPITALS,MORPHINE,9300,1.0,87.61
AMERICAN SAMOA,HOSPITALS,OXYCODONE,9143,1.0,58.72
AMERICAN SAMOA,PRACTITIONERS,BUPRENORPHINE,9064,1.0,0.01
ARIZONA,HOSPITALS,ALFENTANIL,9737,9.0,1.65
ARIZONA,HOSPITALS,AMOBARBITAL (SCHEDULE 2),2125,5.0,45.11
ARIZONA,HOSPITALS,AMPHETAMINE,1100,96.0,7763.57
ARIZONA,HOSPITALS,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21C,2100,1.0,5.0
ARIZONA,HOSPITALS,BUPRENORPHINE,9064,68.0,2541.31
ARIZONA,HOSPITALS,BUTALBITAL,2165,6.0,85.0
ARIZONA,HOSPITALS,COCAINE,9041L,62.0,293.98
ARIZONA,HOSPITALS,CODEINE,9050,129.0,22187.7
ARIZONA,HOSPITALS,FENTANYL BASE,9801,138.0,566.69
ARIZONA,HOSPITALS,HYDROCODONE,9193,148.0,21067.88
ARIZONA,HOSPITALS,HYDROMORPHONE,9150,126.0,3079.61
ARIZONA,HOSPITALS,LISDEXAMFETAMINE,1205,37.0,1617.52
ARIZONA,HOSPITALS,MEPERIDINE (PETHIDINE),9230,90.0,5314.95
ARIZONA,HOSPITALS,METHADONE,9250B,108.0,4880.9
ARIZONA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,110.0,15615.6
ARIZONA,HOSPITALS,MORPHINE,9300,155.0,52777.89
ARIZONA,HOSPITALS,OPIUM COMBINATION PRODUCT (C-III),9809,3.0,2.08
ARIZONA,HOSPITALS,OPIUM POWDERED,9639,57.0,569.16
ARIZONA,HOSPITALS,OXYCODONE,9143,160.0,68431.55
ARIZONA,HOSPITALS,OXYMORPHONE,9652,11.0,44.07
ARIZONA,HOSPITALS,PENTOBARBITAL (SCHEDULE 2),2270,17.0,1262.74
ARIZONA,HOSPITALS,REMIFENTANIL,9739,35.0,13.65
ARIZONA,HOSPITALS,SUFENTANIL BASE,9740,33.0,0.31
ARIZONA,HOSPITALS,TAPENTADOL,9780,13.0,681.5
ARIZONA,MID-LEVEL PRACTITIONERS,BUPRENORPHINE,9064,1.0,0.48
ARIZONA,MID-LEVEL PRACTITIONERS,CODEINE,9050,73.0,273.12
ARIZONA,MID-LEVEL PRACTITIONERS,DIHYDROCODEINE,9120,5.0,1.71
ARIZONA,MID-LEVEL PRACTITIONERS,FENTANYL BASE,9801,1.0,0.0
ARIZONA,MID-LEVEL PRACTITIONERS,HYDROCODONE,9193,2.0,43.57
ARIZONA,MID-LEVEL PRACTITIONERS,HYDROMORPHONE,9150,1.0,0.04
ARIZONA,MID-LEVEL PRACTITIONERS,MORPHINE,9300,2.0,0.22
ARIZONA,MID-LEVEL PRACTITIONERS,OXYCODONE,9143,1.0,0.45
ARIZONA,MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,1.0,177.72
ARIZONA,NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,9064,12.0,418.16
