BUS_TYPE,DRUG_NAME,BUYERS,TOTAL_GRAMS
HOSPITALS,ALFENTANIL,891.0,295.87
HOSPITALS,AMOBARBITAL (SCHEDULE 2),232.0,1411.8
HOSPITALS,AMPHETAMINE,3666.0,405848.74000000005
HOSPITALS,ANABOLIC STEROIDS (21CFR SECTION 1300.01),3.0,34.5
HOSPITALS,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21C,111.0,1454.95
HOSPITALS,BUPRENORPHINE,3895.0,67793.69
HOSPITALS,BUTALBITAL,718.0,13659.8
HOSPITALS,COCAINE,4172.0,30296.859999999997
HOSPITALS,CODEINE,7545.0,993098.8799999998
HOSPITALS,D-METHAMPHETAMINE,25.0,195.73
HOSPITALS,DIHYDROCODEINE,47.0,137.30999999999997
HOSPITALS,DL-METHAMPHETAMINE RACEMIC BASE,29.0,69.1
HOSPITALS,FENTANYL BASE,9580.0,47824.170000000006
HOSPITALS,HYDROCODONE,9154.0,1660048.15
HOSPITALS,HYDROMORPHONE,8078.0,287264.43
HOSPITALS,LEVORPHANOL,54.0,114.82
HOSPITALS,LISDEXAMFETAMINE,1597.0,99132.35
HOSPITALS,MEPERIDINE (PETHIDINE),7485.0,422687.6
HOSPITALS,METHADONE,5580.0,474788.99999999994
HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),5283.0,673340.35
HOSPITALS,MORPHINE,9235.0,2765042.7600000002
HOSPITALS,NABILONE,3.0,0.39999999999999997
HOSPITALS,NOROXYMORPHONE,7.0,2.0
HOSPITALS,OPIUM COMBINATION PRODUCT (C-III),190.0,64.91000000000001
HOSPITALS,OPIUM POWDERED,3575.0,19549.08
HOSPITALS,OXYCODONE,8405.0,2975854.6900000004
HOSPITALS,OXYMORPHONE,984.0,15464.019999999999
HOSPITALS,PENTOBARBITAL (SCHEDULE 2),683.0,224813.32999999996
HOSPITALS,REMIFENTANIL,2032.0,1185.57
HOSPITALS,SECOBARBITAL (SCHEDULE 2),6.0,100.72
HOSPITALS,SUFENTANIL BASE,1884.0,54.61
HOSPITALS,TAPENTADOL,1610.0,92577.81
HOSPITALS,TESTOSTERONE,2.0,74.4
MID-LEVEL PRACTITIONERS,AMPHETAMINE,2.0,72.08
MID-LEVEL PRACTITIONERS,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21C,1.0,3.0
MID-LEVEL PRACTITIONERS,BUPRENORPHINE,24.0,11.89
MID-LEVEL PRACTITIONERS,BUTALBITAL,4.0,275.0
MID-LEVEL PRACTITIONERS,CARFENTANIL,1.0,0.03
MID-LEVEL PRACTITIONERS,CODEINE,82.0,1520.17
MID-LEVEL PRACTITIONERS,DIHYDROCODEINE,433.0,253.89
MID-LEVEL PRACTITIONERS,FENTANYL BASE,549.0,55.92
MID-LEVEL PRACTITIONERS,HYDROCODONE,1775.0,8821.210000000003
MID-LEVEL PRACTITIONERS,HYDROMORPHONE,88.0,87.68999999999998
MID-LEVEL PRACTITIONERS,LISDEXAMFETAMINE,4.0,184.7
MID-LEVEL PRACTITIONERS,MEPERIDINE (PETHIDINE),60.0,270.18000000000006
MID-LEVEL PRACTITIONERS,METHADONE,5.0,477.62
MID-LEVEL PRACTITIONERS,METHYLPHENIDATE (DL;D;L;ISOMERS),4.0,15.71
MID-LEVEL PRACTITIONERS,MORPHINE,643.0,2086.52
MID-LEVEL PRACTITIONERS,NOROXYMORPHONE,2.0,0.74
MID-LEVEL PRACTITIONERS,OXYCODONE,13.0,2410.9399999999996
MID-LEVEL PRACTITIONERS,OXYMORPHONE,3.0,36.4
MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),839.0,1672115.0499999998
MID-LEVEL PRACTITIONERS,REMIFENTANIL,2.0,0.04
MID-LEVEL PRACTITIONERS,TAPENTADOL,3.0,115.0
NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,399.0,19926.47
NARCOTIC TREATMENT PROGRAMS,FENTANYL BASE,1.0,0.01
NARCOTIC TREATMENT PROGRAMS,METHADONE,1271.0,9540984.209999999
NARCOTIC TREATMENT PROGRAMS,MORPHINE,2.0,3.44
PHARMACIES,ALFENTANIL,52.0,16.580000000000002
PHARMACIES,AMOBARBITAL (SCHEDULE 2),2.0,8.2
PHARMACIES,AMPHETAMINE,62215.0,14808526.850000001
PHARMACIES,ANABOLIC STEROIDS (21CFR SECTION 1300.01),96.0,771.0
PHARMACIES,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21C,2966.0,61710.0
PHARMACIES,BUPRENORPHINE,56916.0,2199856.89
PHARMACIES,BUTALBITAL,43881.0,2242374.4
PHARMACIES,CARFENTANIL,1.0,0.12
PHARMACIES,COCAINE,374.0,2870.3100000000004
PHARMACIES,CODEINE,65148.0,12914395.38
PHARMACIES,D-METHAMPHETAMINE,551.0,2586.5800000000004
PHARMACIES,DIHYDROCODEINE,5268.0,25696.11
PHARMACIES,DL-METHAMPHETAMINE RACEMIC BASE,2167.0,8503.93
PHARMACIES,ETORPHINE,1.0,22.0
PHARMACIES,FENTANYL BASE,61191.0,403773.31000000006
PHARMACIES,GAMMA HYDROXYBUTYRIC ACID(FDA,2012.0,1.0
PHARMACIES,HYDROCODONE,66682.0,38515926.52
PHARMACIES,HYDROMORPHONE,57628.0,1544642.6500000004
PHARMACIES,LEVORPHANOL,949.0,1512.4199999999998
PHARMACIES,LISDEXAMFETAMINE,57877.0,8140408.29
PHARMACIES,MEPERIDINE (PETHIDINE),29873.0,978928.5399999999
PHARMACIES,METHADONE,52970.0,4857772.87
PHARMACIES,METHYLPHENIDATE (DL;D;L;ISOMERS),62569.0,18175054.05
PHARMACIES,MORPHINE,60928.0,20234199.009999994
PHARMACIES,NABILONE,145.0,36.650000000000006
PHARMACIES,NOROXYMORPHONE,3.0,7.8
PHARMACIES,OPIUM COMBINATION PRODUCT (C-III),2610.0,1473.53
PHARMACIES,OPIUM POWDERED,3943.0,12448.08
PHARMACIES,OXYCODONE,63924.0,54327616.830000006
PHARMACIES,OXYMORPHONE,38789.0,1605482.7400000002
PHARMACIES,PENTOBARBITAL (SCHEDULE 2),80.0,5850.169999999999
PHARMACIES,REMIFENTANIL,86.0,14.650000000000002
PHARMACIES,SECOBARBITAL (SCHEDULE 2),416.0,11269.92
PHARMACIES,SUFENTANIL BASE,112.0,82.72
PHARMACIES,TAPENTADOL,43338.0,6165658.5
PHARMACIES,TESTOSTERONE,1446.0,3508.8
PRACTITIONERS,ALFENTANIL,223.0,64.03
PRACTITIONERS,AMPHETAMINE,83.0,2486.3
PRACTITIONERS,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21C,7.0,323.5
PRACTITIONERS,BUPRENORPHINE,21321.0,5618.869999999999
PRACTITIONERS,BUTALBITAL,43.0,1006.5
PRACTITIONERS,COCAINE,871.0,3459.25
PRACTITIONERS,CODEINE,2927.0,81715.46
PRACTITIONERS,CONCENTRATE OF POPPY STRAW,3.0,0.49
PRACTITIONERS,D-METHAMPHETAMINE,5.0,20.169999999999998
PRACTITIONERS,DIHYDROCODEINE,2362.0,1307.54
PRACTITIONERS,FENTANYL BASE,15532.0,3834.439999999999
PRACTITIONERS,GAMMA HYDROXYBUTYRIC ACID(FDA APPROVED,1.0,3938.11
PRACTITIONERS,HYDROCODONE,30848.0,281794.37000000005
PRACTITIONERS,HYDROMORPHONE,9345.0,7404.71
PRACTITIONERS,LISDEXAMFETAMINE,247.0,23497.56
PRACTITIONERS,MEPERIDINE (PETHIDINE),5953.0,77291.16000000002
PRACTITIONERS,METHADONE,232.0,2966.28
PRACTITIONERS,METHYLPHENIDATE (DL;D;L;ISOMERS),161.0,3457.749999999999
PRACTITIONERS,MORPHINE,10446.0,39257.079999999994
PRACTITIONERS,NOROXYMORPHONE,93.0,80.69000000000001
PRACTITIONERS,OPIUM COMBINATION PRODUCT (C-III),5.0,3.4099999999999997
PRACTITIONERS,OPIUM POWDERED,93.0,216.72
PRACTITIONERS,OXYCODONE,2012.0,71753.71999999999
PRACTITIONERS,OXYMORPHONE,341.0,1726.4800000000002
PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),6171.0,5626677.999999999
PRACTITIONERS,PHENDIMETRAZINE,1.0,26.47
PRACTITIONERS,REMIFENTANIL,394.0,36.029999999999994
PRACTITIONERS,SUFENTANIL BASE,92.0,9.379999999999999
PRACTITIONERS,TAPENTADOL,43.0,1661.31
TEACHING INSTITUTIONS,ALFENTANIL,1.0,0.04
TEACHING INSTITUTIONS,AMPHETAMINE,7.0,121.32000000000001
TEACHING INSTITUTIONS,BUPRENORPHINE,84.0,16.09
TEACHING INSTITUTIONS,COCAINE,5.0,12.18
TEACHING INSTITUTIONS,CODEINE,9.0,219.20000000000002
TEACHING INSTITUTIONS,D-METHAMPHETAMINE,4.0,16.15
TEACHING INSTITUTIONS,FENTANYL BASE,24.0,27.759999999999998
TEACHING INSTITUTIONS,HYDROCODONE,12.0,98.14
TEACHING INSTITUTIONS,HYDROMORPHONE,22.0,51.59
TEACHING INSTITUTIONS,LISDEXAMFETAMINE,1.0,60.12
TEACHING INSTITUTIONS,MEPERIDINE (PETHIDINE),4.0,19.61
TEACHING INSTITUTIONS,METHADONE,5.0,106.42999999999999
TEACHING INSTITUTIONS,METHYLPHENIDATE (DL;D;L;ISOMERS),3.0,98.83
TEACHING INSTITUTIONS,MORPHINE,29.0,139.64000000000001
TEACHING INSTITUTIONS,OXYCODONE,3.0,2.69
TEACHING INSTITUTIONS,OXYMORPHONE,4.0,3.0
TEACHING INSTITUTIONS,PENTOBARBITAL (SCHEDULE 2),28.0,51386.560000000005
TEACHING INSTITUTIONS,PHENCYCLIDINE (PCP),2.0,0.87
TEACHING INSTITUTIONS,REMIFENTANIL,4.0,0.24000000000000002
TEACHING INSTITUTIONS,TAPENTADOL,1.0,13.0
