BUS_TYPE,DRUG_NAME,BUYERS,TOTAL_GRAMS
HOSPITALS,ALFENTANIL,1066.0,425.17999999999995
HOSPITALS,AMOBARBITAL (SCHEDULE 2),211.0,1212.59
HOSPITALS,AMPHETAMINE,3551.0,326396.70000000007
HOSPITALS,BUPRENORPHINE,3612.0,56547.82000000001
HOSPITALS,BUTALBITAL,884.0,18440.0
HOSPITALS,COCAINE,4106.0,36583.44
HOSPITALS,CODEINE,7869.0,1304454.12
HOSPITALS,D-METHAMPHETAMINE,46.0,259.58
HOSPITALS,DIHYDROCODEINE,121.0,431.18999999999994
HOSPITALS,DL-METHAMPHETAMINE RACEMIC BASE,32.0,59.05
HOSPITALS,FENTANYL BASE,9493.0,65753.78
HOSPITALS,HYDROCODONE,9072.0,1728630.58
HOSPITALS,HYDROMORPHONE,7724.0,287458.42
HOSPITALS,LEVORPHANOL,15.0,8.6
HOSPITALS,LISDEXAMFETAMINE,1394.0,70100.57999999999
HOSPITALS,LORAZEPAM,1.0,1.0
HOSPITALS,MEPERIDINE (PETHIDINE),7674.0,620868.76
HOSPITALS,METHADONE,5926.0,570596.41
HOSPITALS,METHYLPHENIDATE,5426.0,653910.7100000001
HOSPITALS,MORPHINE,9195.0,3090493.38
HOSPITALS,NABILONE,11.0,2.3499999999999996
HOSPITALS,OPIUM POWDERED,3526.0,21043.080000000005
HOSPITALS,OPIUM TINCTURE,16.0,432.13
HOSPITALS,OXYCODONE,8363.0,2925850.2299999995
HOSPITALS,OXYMORPHONE,881.0,17493.88
HOSPITALS,PENTOBARBITAL (SCHEDULE 2),819.0,286061.48999999993
HOSPITALS,PHENCYCLIDINE (PCP),1.0,0.22
HOSPITALS,REMIFENTANIL,1857.0,1104.07
HOSPITALS,SECOBARBITAL (SCHEDULE 2),24.0,485.27000000000004
HOSPITALS,SUFENTANIL BASE,2287.0,67.46
HOSPITALS,TAPENTADOL,1512.0,64202.22
MID-LEVEL PRACTITIONERS,ALFENTANIL,1.0,0.01
MID-LEVEL PRACTITIONERS,AMPHETAMINE,3.0,235.92999999999998
MID-LEVEL PRACTITIONERS,BUPRENORPHINE,26.0,1.02
MID-LEVEL PRACTITIONERS,BUTALBITAL,3.0,70.0
MID-LEVEL PRACTITIONERS,CODEINE,72.0,1914.0
MID-LEVEL PRACTITIONERS,DIHYDROCODEINE,669.0,296.98
MID-LEVEL PRACTITIONERS,FENTANYL BASE,468.0,11.16
MID-LEVEL PRACTITIONERS,HYDROCODONE,2285.0,3742.4299999999994
MID-LEVEL PRACTITIONERS,HYDROMORPHONE,70.0,58.32
MID-LEVEL PRACTITIONERS,LISDEXAMFETAMINE,2.0,18.05
MID-LEVEL PRACTITIONERS,MEPERIDINE (PETHIDINE),72.0,213.62000000000003
MID-LEVEL PRACTITIONERS,METHADONE,1.0,33.99
MID-LEVEL PRACTITIONERS,METHYLPHENIDATE,5.0,28.1
MID-LEVEL PRACTITIONERS,MORPHINE,576.0,533.24
MID-LEVEL PRACTITIONERS,NOROXYMORPHONE,2.0,9.26
MID-LEVEL PRACTITIONERS,OXYCODONE,14.0,418.38
MID-LEVEL PRACTITIONERS,OXYMORPHONE,1.0,5.35
MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),891.0,2629181.77
MID-LEVEL PRACTITIONERS,PHENDIMETRAZINE,1.0,706.47
MID-LEVEL PRACTITIONERS,TAPENTADOL,1.0,10.0
NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,222.0,8267.18
NARCOTIC TREATMENT PROGRAMS,DIHYDROCODEINE,1.0,0.47
