BUS_TYPE,DRUG_NAME,BUYERS,TOTAL_GRAMS
HOSPITALS,ALFENTANIL,970.0,327.05
HOSPITALS,AMOBARBITAL (SCHEDULE 2),241.0,3542.3
HOSPITALS,AMPHETAMINE,3312.0,209193.75999999998
HOSPITALS,BUPRENORPHINE,2026.0,18612.9
HOSPITALS,BUTALBITAL,1133.0,23722.5
HOSPITALS,COCAINE,4490.0,50143.08
HOSPITALS,CODEINE,8013.0,1588183.81
HOSPITALS,D-METHAMPHETAMINE,56.0,383.93000000000006
HOSPITALS,DIHYDROCODEINE,178.0,754.05
HOSPITALS,ECGONINE,1.0,0.02
HOSPITALS,FENTANYL BASE,8725.0,50854.54000000001
HOSPITALS,GAMMA HYDROXYBUTYRIC ACID,2.0,1578.93
HOSPITALS,GAMMA HYDROXYBUTYRIC ACID(FDA APPROVED,2.0,742.5
HOSPITALS,HYDROCODONE,8757.0,1438980.6300000004
HOSPITALS,HYDROMORPHONE,6721.0,227248.25
HOSPITALS,LEVORPHANOL,110.0,203.95999999999998
HOSPITALS,LISDEXAMFETAMINE,424.0,5077.08
HOSPITALS,MEPERIDINE (PETHIDINE),8138.0,1323691.6500000001
HOSPITALS,METHADONE,5706.0,607653.9400000001
HOSPITALS,METHYLPHENIDATE,5370.0,583452.81
HOSPITALS,MORPHINE,9014.0,2909658.98
HOSPITALS,NABILONE,21.0,2.1
HOSPITALS,NALOXONE,1199.0,3994.5000000000005
HOSPITALS,OPIUM POWDERED,3113.0,13760.04
HOSPITALS,OXYCODONE,8099.0,2471545.46
HOSPITALS,OXYMORPHONE,342.0,2384.76
HOSPITALS,PENTOBARBITAL (SCHEDULE 2),1073.0,434010.69999999995
HOSPITALS,PHENCYCLIDINE (PCP),1.0,0.02
HOSPITALS,REMIFENTANIL,1281.0,633.52
HOSPITALS,SECOBARBITAL (SCHEDULE 2),97.0,1162.1299999999999
HOSPITALS,SUFENTANIL BASE,262.0,23.48
MID-LEVEL PRACTITIONERS,AMPHETAMINE,1.0,9.52
MID-LEVEL PRACTITIONERS,BUPRENORPHINE,9.0,1.48
MID-LEVEL PRACTITIONERS,BUTALBITAL,3.0,65.0
MID-LEVEL PRACTITIONERS,CODEINE,168.0,2355.4700000000003
MID-LEVEL PRACTITIONERS,DIHYDROCODEINE,79.0,93.63
MID-LEVEL PRACTITIONERS,FENTANYL BASE,60.0,7.999999999999999
MID-LEVEL PRACTITIONERS,HYDROCODONE,2469.0,4692.75
MID-LEVEL PRACTITIONERS,HYDROMORPHONE,370.0,14.24
MID-LEVEL PRACTITIONERS,MEPERIDINE (PETHIDINE),85.0,204.95
MID-LEVEL PRACTITIONERS,METHYLPHENIDATE,2.0,18.97
MID-LEVEL PRACTITIONERS,MORPHINE,461.0,382.94000000000005
MID-LEVEL PRACTITIONERS,NALOXONE,1.0,0.24
MID-LEVEL PRACTITIONERS,OXYCODONE,7.0,97.15999999999998
MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),841.0,2937850.9499999997
NARCOTIC TREATMENT PROGRAMS,AMPHETAMINE,2.0,1.35
NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,156.0,3667.06
NARCOTIC TREATMENT PROGRAMS,CODEINE,3.0,9.94
NARCOTIC TREATMENT PROGRAMS,FENTANYL BASE,2.0,0.8200000000000001
NARCOTIC TREATMENT PROGRAMS,HYDROCODONE,1.0,0.3
