BUS_TYPE,DRUG_NAME,BUYERS,TOTAL_GRAMS
HOSPITALS,ALFENTANIL,1971.0,699.6700000000002
HOSPITALS,ALPHAACETYLMETHADOL,5.0,60.24000000000001
HOSPITALS,AMOBARBITAL (SCHEDULE 2),372.0,6621.850000000001
HOSPITALS,BUTALBITAL,1748.0,46545.6
HOSPITALS,COCAINE,4422.0,40487.85
HOSPITALS,CODEINE,7983.0,2141474.0
HOSPITALS,D-AMPHETAMINE BASE,3072.0,82492.43
HOSPITALS,D-METHAMPHETAMINE,79.0,368.3499999999999
HOSPITALS,DIHYDROCODEINE,268.0,1181.1100000000001
HOSPITALS,DIPRENORPHINE,1.0,0.02
HOSPITALS,DL-AMPHETAMINE BASE,2362.0,37915.42999999999
HOSPITALS,ECGONINE,4.0,0.07
HOSPITALS,FENTANYL BASE,7921.0,31439.170000000002
HOSPITALS,HYDROCODONE,7830.0,663024.5299999998
HOSPITALS,HYDROMORPHONE,5194.0,93854.85
HOSPITALS,LEVOMETHAMPHETAMINE,1.0,0.0
HOSPITALS,LEVORPHANOL,143.0,71.52
HOSPITALS,MEPERIDINE (PETHIDINE),7880.0,2669347.2900000005
HOSPITALS,METHADONE,4646.0,225367.68000000002
HOSPITALS,METHYLPHENIDATE,5352.0,371051.21
HOSPITALS,MORPHINE,8067.0,1886588.02
HOSPITALS,NALTREXONE,1.0,391.2
HOSPITALS,OPIUM POWDERED,3534.0,23661.879999999997
HOSPITALS,OXYCODONE,7544.0,1633958.04
HOSPITALS,OXYMORPHONE,176.0,1580.26
HOSPITALS,PAREGORIC/OPIUM,330.0,123.27000000000001
HOSPITALS,PENTOBARBITAL (SCHEDULE 2),1318.0,457599.82999999996
HOSPITALS,PHENCYCLIDINE (PCP),1.0,0.02
HOSPITALS,REMIFENTANIL,1140.0,380.22999999999996
HOSPITALS,SECOBARBITAL (SCHEDULE 2),1499.0,30931.110000000004
HOSPITALS,SUFENTANIL,3204.0,51.57
PHARMACIES,ALFENTANIL,161.0,25.800000000000008
PHARMACIES,AMOBARBITAL (SCHEDULE 2),570.0,14363.509999999998
PHARMACIES,BUTALBITAL,47727.0,3996118.3000000003
PHARMACIES,COCAINE,723.0,5084.34
PHARMACIES,CODEINE,57572.0,20726620.68
PHARMACIES,D-AMPHETAMINE BASE,52900.0,2575085.5700000003
PHARMACIES,D-METHAMPHETAMINE,3287.0,16612.22
PHARMACIES,DIHYDROCODEINE,19794.0,145890.91
PHARMACIES,DIPHENOXYLATE,5.0,96.22
PHARMACIES,DL-AMPHETAMINE BASE,51998.0,1539397.7200000002
PHARMACIES,FENTANYL BASE,50672.0,153846.33
PHARMACIES,HYDROCODONE,58261.0,14723309.5
PHARMACIES,HYDROMORPHONE,32817.0,305804.72000000003
PHARMACIES,LEVORPHANOL,1116.0,1147.55
PHARMACIES,MEPERIDINE (PETHIDINE),41572.0,2685827.39
PHARMACIES,METHADONE,35192.0,1660431.51
PHARMACIES,METHYLPHENIDATE,54413.0,9735079.630000003
PHARMACIES,MORPHINE,50231.0,6910784.940000001
PHARMACIES,OPIUM POWDERED,4693.0,20799.3
PHARMACIES,OXYCODONE,54872.0,18280168.79
PHARMACIES,OXYMORPHONE,115.0,924.15
PHARMACIES,PAREGORIC/OPIUM,6297.0,2637.4000000000005
PHARMACIES,PENTOBARBITAL (SCHEDULE 2),1087.0,23624.489999999998
PHARMACIES,REMIFENTANIL,57.0,8.33
PHARMACIES,SECOBARBITAL (SCHEDULE 2),3666.0,82613.17
