BUS_TYPE,DRUG_NAME,BUYERS,TOTAL_GRAMS
HOSPITALS,"5-METHOXY-N,N DIMETHYLTRYPTAMINE",1.0,0.25
HOSPITALS,ALFENTANIL,1011.0,334.3
HOSPITALS,AMOBARBITAL (SCHEDULE 2),226.0,1351.61
HOSPITALS,AMPHETAMINE,3593.0,375494.44
HOSPITALS,BUPRENORPHINE,3708.0,62546.299999999996
HOSPITALS,BUTALBITAL,782.0,16324.900000000001
HOSPITALS,COCAINE,4183.0,33472.740000000005
HOSPITALS,CODEINE,7767.0,1147557.1099999999
HOSPITALS,D-METHAMPHETAMINE,27.0,175.14000000000001
HOSPITALS,DIHYDROCODEINE,83.0,293.82000000000005
HOSPITALS,DL-METHAMPHETAMINE RACEMIC BASE,24.0,60.64999999999999
HOSPITALS,FENTANYL BASE,9595.0,48431.09
HOSPITALS,HEROIN,1.0,0.03
HOSPITALS,HYDROCODONE,9134.0,1777995.4000000001
HOSPITALS,HYDROMORPHONE,7955.0,299746.54
HOSPITALS,LEVORPHANOL,45.0,59.510000000000005
HOSPITALS,LISDEXAMFETAMINE,1508.0,85742.44999999998
HOSPITALS,MEPERIDINE (PETHIDINE),7621.0,527411.8
HOSPITALS,MEPHEDRONE; 4-METHOXYMETHCATHINONE;ME,1.0,0.02
HOSPITALS,METHADONE,5844.0,523619.21
HOSPITALS,METHYLPHENIDATE,5355.0,675222.54
HOSPITALS,MORPHINE,9219.0,3030066.7500000005
HOSPITALS,NABILONE,5.0,0.45000000000000007
HOSPITALS,OPIUM POWDERED,3323.0,19588.28
HOSPITALS,OPIUM TINCTURE,20.0,335.66999999999996
HOSPITALS,OXYCODONE,8357.0,2983947.0299999993
HOSPITALS,OXYMORPHONE,936.0,14866.670000000002
HOSPITALS,PENTOBARBITAL (SCHEDULE 2),675.0,265156.03
HOSPITALS,PHENCYCLIDINE (PCP),1.0,0.09
HOSPITALS,REMIFENTANIL,1923.0,1115.6100000000001
HOSPITALS,SECOBARBITAL (SCHEDULE 2),25.0,311.3
HOSPITALS,SUFENTANIL BASE,1983.0,67.94
HOSPITALS,TAPENTADOL,1696.0,91413.31
